STATEFIP,State,state_code,uninsured,Year
16,Idaho,ID,0.1804357728515032,2018
17,Illinois,IL,0.12189288869453209,2018
18,Indiana,IN,0.1410482032388082,2018
19,Iowa,IA,0.08971693497397305,2018
20,Kansas,KS,0.15085304557252782,2018
21,Kentucky,KY,0.10558200430841216,2018
22,Louisiana,LA,0.1489167741148914,2018
23,Maine,ME,0.13350784352922984,2018
24,Maryland,MD,0.1004594656018617,2018
25,Massachusetts,MA,0.047476451301101154,2018
26,Michigan,MI,0.09776015159814437,2018
27,Minnesota,MN,0.06666275718387275,2018
28,Mississippi,MS,0.24045695667786773,2018
29,Missouri,MO,0.17212537717341783,2018
30,Montana,MT,0.1310702191386603,2018
31,Nebraska,NE,0.13666660625118943,2018
32,Nevada,NV,0.1848597072150575,2018
33,New Hampshire,NH,0.10192358259673537,2018
34,New Jersey,NJ,0.13551132337629943,2018
35,New Mexico,NM,0.1596566648572314,2018
36,New York,NY,0.09123700520933979,2018
37,North Carolina,NC,0.1820527920408742,2018
38,North Dakota,ND,0.12461062275597375,2018
39,Ohio,OH,0.11672091686357598,2018
40,Oklahoma,OK,0.24054629799842123,2018
41,Oregon,OR,0.13233135493792658,2018
42,Pennsylvania,PA,0.10227295013532217,2018
44,Rhode Island,RI,0.07703912300110631,2018
45,South Carolina,SC,0.1908265178282352,2018
46,South Dakota,SD,0.18058638183187348,2018
47,Tennessee,TN,0.17320037325494805,2018
48,Texas,TX,0.28832352517991783,2018
49,Utah,UT,0.1352760293459302,2018
50,Vermont,VT,0.05902239752077757,2018
51,Virginia,VA,0.14360332166315792,2018
53,Washington,WA,0.1074718819557665,2018
54,West Virginia,WV,0.12826873245519327,2018
55,Wisconsin,WI,0.10233716944557025,2018
56,Wyoming,WY,0.17561331439321226,2018
