State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
Washington,6830038,5866783,963255,2011,WA,0.141032158
West Virginia,1855364,1566269,289095,2011,WV,0.155815786
Wisconsin,5711767,5168178,543589,2011,WI,0.095170024
Wyoming,568158,480814,87344,2011,WY,0.153731884
Alabama,4785298,4063843,721455,2010,AL,0.150764905
Alaska,713985,586171,127814,2010,AK,0.179014965
Arizona,6413737,5287926,1125811,2010,AZ,0.175531207
Arkansas,2921606,2400992,520614,2010,AR,0.178194459
California,37349363,30375151,6974212,2010,CA,0.186729075
Colorado,5049071,4250237,798834,2010,CO,0.158214056
Connecticut,3577073,3252006,325067,2010,CT,0.090875137
Delaware,899769,806101,93668,2010,DE,0.104102275
District of Columbia,604453,558391,46062,2010,DC,0.076204436
Florida,18843326,14748344,4094982,2010,FL,0.217317367
Georgia,9712587,7743650,1968937,2010,GA,0.20272014
Hawaii,1363621,1259625,103996,2010,HI,0.076264593
Idaho,1571450,1286196,285254,2010,ID,0.181522797
Illinois,12843166,11027733,1815433,2010,IL,0.141354009
Indiana,6490621,5498854,991767,2010,IN,0.152800017
Iowa,3049883,2760913,288970,2010,IA,0.094747897
Kansas,2859169,2460233,398936,2010,KS,0.139528653
Kentucky,4346266,3665010,681256,2010,KY,0.156745123
Louisiana,4544228,3705166,839062,2010,LA,0.184643464
Maine,1327567,1186531,141036,2010,ME,0.106236446
Maryland,5785982,5114026,671956,2010,MD,0.116135169
Massachusetts,6557254,6267040,290214,2010,MA,0.044258466
Michigan,9877574,8628176,1249398,2010,MI,0.126488346
Minnesota,5310584,4830763,479821,2010,MN,0.090351833
Mississippi,2970036,2416185,553851,2010,MS,0.186479558
Missouri,5996231,5184585,811646,2010,MO,0.135359362
Montana,990898,823447,167451,2010,MT,0.168989139
Nebraska,1830429,1616063,214366,2010,NE,0.117112436
Nevada,2704642,2091184,613458,2010,NV,0.22681671
New Hampshire,1316759,1168969,147790,2010,NH,0.112237699
New Jersey,8801624,7618567,1183057,2010,NJ,0.13441349
New Mexico,2065932,1647935,417997,2010,NM,0.202328537
New York,19392283,17052725,2339558,2010,NY,0.120643763
North Carolina,9561558,7949341,1612217,2010,NC,0.168614466
North Dakota,674499,606515,67984,2010,ND,0.100791847
Ohio,11536182,10096668,1439514,2010,OH,0.124782532
Oklahoma,3761702,3029596,732106,2010,OK,0.194620946
Oregon,3838957,3173709,665248,2010,OR,0.173288734
Pennsylvania,12709630,11371410,1338220,2010,PA,0.105291814
Rhode Island,1052886,925157,127729,2010,RI,0.121313229
South Carolina,4636312,3816368,819944,2010,SC,0.176852636
South Dakota,816463,718572,97891,2010,SD,0.119896431
Tennessee,6356897,5420198,936699,2010,TN,0.147351609
Texas,25257114,19167115,6089999,2010,TX,0.241120145
Utah,2776469,2341380,435089,2010,UT,0.156705874
Vermont,625960,576727,49233,2010,VT,0.078651991
Virginia,8024617,7003614,1021003,2010,VA,0.127233861
Washington,6744496,5786344,958152,2010,WA,0.142064285
West Virginia,1853973,1577697,276276,2010,WV,0.149018351
Wisconsin,5691047,5130784,560263,2010,WI,0.098446384
Wyoming,564460,482194,82266,2010,WY,0.145742834
Alabama,4708708,4041956,666752,2009,AL,0.141599776
Alaska,698473,557237,141236,2009,AK,0.202206814
Arizona,6595778,5416711,1179067,2009,AZ,0.178760868
Arkansas,2889450,2395976,493474,2009,AR,0.170784751
California,36961664,30204164,6757500,2009,CA,0.182824561
Colorado,5024748,4238735,786013,2009,CO,0.156428342
Connecticut,3518288,3200179,318109,2009,CT,0.09041585
Delaware,885122,790747,94375,2009,DE,0.10662372
District of Columbia,599657,557436,42221,2009,DC,0.070408584
Florida,18537969,14602499,3935470,2009,FL,0.212292404
Georgia,9829211,7909589,1919622,2009,GA,0.195297669
Hawaii,1295178,1207345,87833,2009,HI,0.067815389
Idaho,1545801,1281570,264231,2009,ID,0.17093468
Illinois,12910409,11178077,1732332,2009,IL,0.134181032
Indiana,6423113,5508867,914246,2009,IN,0.142336901
Iowa,3007857,2742820,265037,2009,IA,0.088114894
Kansas,2818747,2453911,364836,2009,KS,0.129431978
Kentucky,4314113,3675303,638810,2009,KY,0.148074471
Louisiana,4492076,3691834,800242,2009,LA,0.17814525
Maine,1318301,1184261,134040,2009,ME,0.101676324
Maryland,5699478,5050152,649326,2009,MD,0.113927275
Massachusetts,6593587,6308289,285298,2009,MA,0.043269013
Michigan,9969727,8713304,1256423,2009,MI,0.126023812
Minnesota,5266215,4788979,477236,2009,MN,0.090622202
Mississippi,2951996,2419003,532993,2009,MS,0.180553429
Missouri,5987580,5174346,813234,2009,MO,0.135820148
Montana,974989,790735,184254,2009,MT,0.188980594
Nebraska,1796622,1589680,206942,2009,NE,0.11518394
Nevada,2643085,2062409,580676,2009,NV,0.219696302
